Date,User,Tweet,clean,probability,sentiment
2022-09-08 23:11:34+00:00,SteveOuellette2,Thank God I paid an extra $17.00 for 2 day air on my @MidwayUSA order that got shipped through @ups just to get an email saying it is delayed.  Along with my medication from the VA. Think this is the 3rd or 4th time in less then a year that @ups can't deliver as promised.,thank god paid extra day air midwayusa order got shipped ups get email saying delayed along medication va think time less year ups cant deliver promised,0.968204140663147,NEGATIVE
2022-09-08 22:38:33+00:00,Xirsty,@UPS parcel to be delivered Tuesday. Wednesday email says package delivered Wednesday 🥂🤬. Now the shipper tells me it’ll be delivered within 24 hrs. Spend another day expectantly awaiting my delivery from @Bose. What’s happening???  Nothing. Tracking info useless 😢,ups parcel delivered tuesday wednesday email says package delivered wednesday shipper tells itll delivered within hrs spend another day expectantly awaiting delivery bose whats happening nothing tracking info useless,0.999931812286377,NEGATIVE
2022-09-08 22:35:37+00:00,FreshnDirty_J,@stockx Still nothing from you guys pertaining to an resolution.. I also have others items sold than now I will not be shipping until this is resolved.  You can’t just brush off customers and not allow them to utilize @ups to file a claim.. you control the label since you created it..,stockx still nothing guys pertaining resolution also others items sold not shipping resolved cant brush customers not allow utilize ups file claim control label since created,0.9998045563697815,NEGATIVE
2022-09-08 21:55:54+00:00,trishahjel,@UPS used to be a reliable carrier. Now they are terrible! 2 boxes were shipped from Georgia to my home in florida for over $80. They were supposed to arrive yesterday. I didn’t receive them so I checked the tracking. They were RETURNED TO SENDER!,ups used reliable carrier terrible boxes shipped georgia home florida supposed arrive yesterday didnt receive checked tracking returned sender,0.7017800807952881,POSITIVE
2022-09-08 21:04:47+00:00,tinajero_rigo,@UPS another box opened that was coming from Nike?! Y’all need to discipline your drivers smh 🤦‍♂️ https://t.co/Mg15jUDVAg,ups another box opened coming nike yall need discipline drivers smh,0.9925366640090942,NEGATIVE
2022-09-08 19:10:09+00:00,panelfmedia1,Funnh how a @ups package out for delivery from North Jackson arrives here at 2:00p but an IDENTICAL package from the same company (another of the same product) that comes thru #Girard ohio still hasnt arrived.,funnh ups package delivery north jackson arrives identical package company another product comes thru girard ohio still hasnt arrived,0.9982714653015137,NEGATIVE
2022-09-08 18:57:33+00:00,MAXLEVELLOUNGE,This woman pictured here  stealing packages delivered by @UPS from my porch. She squats in a house on the 5100 block of Kershaw st. She attempts to make connections with the drivers and pretends she’s me. I need a manager at the distribution center to contact me ASAP https://t.co/UHAGEE9ewm,woman pictured stealing packages delivered ups porch squats house block kershaw st attempts make connections drivers pretends shes need manager distribution center contact asap,0.9990849494934082,NEGATIVE
2022-09-08 18:52:27+00:00,rachie919,Don’t let @UPS deliver your stuff. They’ll just keep stealing from you.,dont let ups deliver stuff theyll keep stealing,0.9642863869667053,NEGATIVE
2022-09-08 18:40:58+00:00,MAXLEVELLOUNGE,"@UPS this woman seen sealing packages from my porch, squats in a house on the 5100 block of kershaw st. I need someone to get back to me . She’s stopping the ups delivery truck pretending to be me. https://t.co/yTP0vHHXo5",ups woman seen sealing packages porch squats house block kershaw st need someone get back shes stopping ups delivery truck pretending,0.9393166899681091,NEGATIVE
2022-09-08 18:14:31+00:00,mad_bears,"First, @UPS loses one of our kitchen pantry cabinets from @HomeDepot in New Orleans. Takes 5 calls to HD cust svc to get a replacement. They promised delivery today ... but today HD emails to say there's a delay up to 5 biz days!
Seriously?",first ups loses one kitchen pantry cabinets homedepot new orleans takes calls hd cust svc get replacement promised delivery today today hd emails say theres delay biz daysseriously,0.9952908754348755,NEGATIVE
2022-09-08 18:14:14+00:00,Fardreamer,"@Megs_Not_Here @thepeacetweeter @UPS UPS somehow ""lost"" a laptop that I ordered from Best Buy in Spring '21. Granted, it might have been ""lost"" in a Best Buy warehouse and MAYBE it wasn't UPS's fault, but a label had been printed and a delivery estimate had been made. Ugh. 

Best Buy made good on the laptop, but....",megsnothere thepeacetweeter ups ups somehow lost laptop ordered best buy spring granted might lost best buy warehouse maybe wasnt upss fault label printed delivery estimate made ugh best buy made good laptop,0.975182294845581,NEGATIVE
2022-09-08 18:13:48+00:00,xburnerx3,@XxFirecracker @UPS Looks like they kicked it from the road to your house 🤣🤣,xxfirecracker ups looks like kicked road house,0.9981689453125,NEGATIVE
2022-09-08 18:02:54+00:00,MaxRealtor1,@UPS Why would a package bound for 60 miles south of Memphis fly from Dallas to Nashville? Could y'all not just push the package out the plane window when you flew passed Memphis?,ups would package bound miles south memphis fly dallas nashville could yall not push package plane window flew passed memphis,0.8974258899688721,NEGATIVE
2022-09-08 17:58:42+00:00,larrydurland,"Hey @UPS, not so sure adding an in-app tracking feature is good if your truck is already going to be late then drives miles away when it was only 2 min from my house. Pretty frustrating. https://t.co/LxFiqNhn7l",hey ups not sure adding inapp tracking feature good truck already going late drives miles away min house pretty frustrating,0.999373733997345,NEGATIVE
2022-09-08 17:58:27+00:00,KaurKaur1101,"@UPS_Canada @UPS I started working with @UPS in augst and I worked almost 15 days but some personal reasons I left that job but I am so disappointed from @UPS_Canada that they didn’t paid.Moreover,I am texting them every day and bugging them for my own money.please get back to me",upscanada ups started working ups augst worked almost days personal reasons left job disappointed upscanada didnt paidmoreoveri texting every day bugging moneyplease get back,0.9993060827255249,NEGATIVE
2022-09-08 17:56:44+00:00,Surjshrestha,"I ordered @Apple 2022 MacBook pro $1699 from @amazon Windsor CT 06095, @UPS driver delivered the box so carefully. But when I opened the box, laptop is missing. What a day!! https://t.co/rXNGVCFJUW",ordered apple macbook pro amazon windsor ct ups driver delivered box carefully opened box laptop missing day,0.9536369442939758,NEGATIVE
2022-09-08 17:46:49+00:00,BillManiatis,"Do NOT use @UPS for anything if you expect delivery on time. 3 emails in the last 24 hrs scheduling between 10-12 to deliver. Now, “we don’t when but it should be today sometime”. #Useless. Also, dont order from @BestBuy bc thats who they use. #furious",not use ups anything expect delivery time emails last hrs scheduling deliver dont today sometime useless also dont order bestbuy bc thats use furious,0.997305154800415,NEGATIVE
2022-09-08 16:50:25+00:00,kokoandjune,"@UPS Help! We are supposed to be sending something and we are asked to send it directly from UPS, but are local UPS burnt down (Lancaster, Ca) so where are we supposed to go now? We are told that it shouldn’t be sent from a UPS store- where would your nearest hub be now?",ups help supposed sending something asked send directly ups local ups burnt lancaster ca supposed go told shouldnt sent ups store would nearest hub,0.9980009198188782,NEGATIVE
2022-09-08 16:37:35+00:00,laurakcurtis,"Dear @UPS,
WTH is with my package which should have been at my house in NY on Sept 2 instead going from NJ to MA and now you cannot tell me anything about it except that there’s a “sorting delay” and you don’t know when I’ll get it?",dear upswth package house ny sept instead going nj cannot tell anything except theres sorting delay dont know ill get,0.9743794202804565,NEGATIVE
2022-09-08 16:29:46+00:00,MeriQueenOfCats,"@FortuneMagazine This headline seems to suggest that an employee making 95K/yr should be grateful &amp; should cheerfully drive around in record breaking heat in dark brown, un air-conditioned vans, and just accept that their deaths from heat stroke are just a cost of doing business for @UPS.",fortunemagazine headline seems suggest employee making grateful amp cheerfully drive around record breaking heat dark brown un airconditioned vans accept deaths heat stroke cost business ups,0.9858112335205078,NEGATIVE
